Frank L. Gaines
Jackie Joyner-Kersee
Bruce Jenner
Ross Perot
Larry Brown
Derek Jeter
Emil Zatopek
Terry Bradshaw
Paul "Bear" Bryant
Marv Levy
Larid Hamilton
Bo Jackson
Ben Hodgeman
M.H Alderson
Liane Cardes
Vin Scully
Tommy Lasorda
Don Zimmer
Mark Spitz
Steve Young
Pele
George Halas
Arnold Schwarzenegger
J. Askenberg
Arnold Palmer
Micheal Jordan
Picabo Street
Herschel Walker
Bobby Knight
Ronnie Lott
Carl Lewis
Michael Jordan
John Wooden
Pat Reily
Cameron Trammell
Mario Andretti
Ted Williams
Joe Namath
Michael Phelps
John Wooden
William A. Ward
Satchel Paige
Muhammad Ali
Jack Dempsey
Yogi Berra
Mike Ditka
Wayne Gretzky
Dan Gable
Michael Jordan
Vince Lombardi
